"CHEM_ID","LIB_ID","COMP_ID","CHRO_LIB_ENTRY_ID","SUPER_PATHWAY","SUB_PATHWAY","PATHWAY_SORTORDER","TYPE","INCHIKEY","SMILES","CHEMICAL_NAME","PLOT_NAME","CAS","CHEMSPIDER","HMDB","KEGG","PUBCHEM","PLATFORM"
100001257,305,33942,147568,"Amino Acid","Alanine and Aspartate Metabolism",42,"NAMED","HXFOXFJUNFFYMO-BYPYZUCNSA-N","OC([C@@H](NC(C)=O)CC(N)=O)=O","N-acetylasparagine","N-acetylasparagine","4033-40-3","90090","HMDB0006028",NA,"99715","Polar"
100001262,400,33934,156033,"Peptide","Gamma-glutamyl Amino Acid",656,"NAMED","JPKNLFVGUZRHOB-YUMQZZPRSA-N","N[C@H](C(O)=O)CCCCNC(CC[C@@H](C(O)=O)N)=O","gamma-glutamyl-epsilon-lysine","gamma-glutamyl-epsilon-lysine","17105-15-6","5378717","HMDB0003869",NA,"7015685","Pos Early"
100001266,400,33953,156051,"Amino Acid","Urea cycle; Arginine and Proline Metabolism",506,"NAMED","SNEIUMQYRCDYCH-LURJTMIESA-N","O=C(O)[C@@H](NC(C)=O)CCCNC(N)=N","N-acetylarginine","N-acetylarginine","155-84-0","60752","HMDB0004620","C02562","67427","Pos Early"
100001267,402,33935,158580,"Xenobiotics","Food Component/Plant",5027,"NAMED","MXXWOMGUGJBKIW-YPCIICBESA-N","O=C(N1CCCCC1)/C=C/C=C/C2=CC(OCO3)=C3C=C2","piperine","piperine","94-62-2","553590","HMDB0029377","C03882","638024","Pos Late"
100001269,402,33997,164179,"Lipid","Sterol",3243,"NAMED","SGNBVLSWZMBQTH-PODYLUTMSA-N","C[C@H](CC[C@@H](C)C(C)C)[C@@]1([H])CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@@]21C","campesterol","campesterol","474-62-4","151215","HMDB0002869","C01789","173183","Pos Late"
100001270,402,33952,158596,"Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",1879,"NAMED","PSHXNVGSVNEJBD-UHFFFAOYSA-N","O=C(CCCCCCCCCCCCC)OC(CC([O-])=O)C[N+](C)(C)C","myristoylcarnitine (C14)","myristoylcarnitine (C14)","18822-89-4","4932274","HMDB0005066",NA,"6426854","Pos Late"
100001274,209,33939,126095,"Amino Acid","Glycine, Serine and Threonine Metabolism",18,"NAMED","PEDXUVCGOLSNLQ-UHFFFAOYSA-N","CC(O)C(C(O)=O)NC(C)=O","N-acetylthreonine","N-acetylthreonine","17093-74-2","3841173","HMDB0062557",NA,"152204","Neg"
100001276,209,33967,126125,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",392,"NAMED","JDTWZSUNGHMMJM-MSZQBOFLSA-N","CC(N[C@H](C(O)=O)C(C)CC)=O","N-acetylisoleucine","N-acetylisoleucine","3077-46-1","2081100","HMDB0061684",NA,"306109","Neg"
100001277,209,33972,126131,"Lipid","Long Chain Monounsaturated Fatty Acid",1557,"NAMED","BBOWBNGUEWHNQZ-KTKRTIGZSA-N","O=C(O)CCCCCCCC/C=C\CCCCCCCC","10-nonadecenoate (19:1n9)","10-nonadecenoate (19:1n9)","73033-09-7","4471938","HMDB0013622",NA,"5312513","Neg"
100001278,209,33971,126129,"Lipid","Long Chain Monounsaturated Fatty Acid",1548,"NAMED","GDTXICBNEOEPAZ-FPLPWBNLSA-N","O=C(O)CCCCCCCC/C=C\CCCCCC","10-heptadecenoate (17:1n7)","10-heptadecenoate (17:1n7)","29743-97-3","4471860","HMDB0060038",NA,"5312435","Neg"
100001279,209,34093,126896,"Lipid","Secondary Bile Acid Metabolism",3544,"NAMED","DKPMWHFRUGMUKF-OAEKOJLISA-N","C[C@]12CC[C@@H](O)C[C@@]1([H])[C@@H](O)[C@@H](O)C3C2CC[C@@]4(C)C3CCC4C(CCC(O)=O)C","hyocholate","hyocholate","547-75-1","21403098","HMDB0000760","C17649","92805","Neg"
100001287,209,33973,126133,"Lipid","Androgenic Steroids",3361,"NAMED","ZMITXKRGXGRMKS-FMLJXKFRSA-N","O=C1CCC2C3CC[C@@]4([H])C[C@@H](OS(=O)(O)=O)CC[C@]4(C)C3CC[C@@]21C","epiandrosterone sulfate","epiandrosterone sulfate","22229-22-7","21403101","HMDB0062657","C04555","9929317","Neg"
100001293,305,33946,147200,"Amino Acid","Histidine Metabolism",75,"NAMED","KBOJOGQFRVVWBH-ZETCQYMHSA-N","OC([C@@H](NC(C)=O)CC1=CNC=N1)=O","N-acetylhistidine","N-acetylhistidine","39145-52-3","68142","HMDB0032055","C02997","75619","Polar"
100001294,400,33949,156047,"Peptide","Gamma-glutamyl Amino Acid",651,"NAMED","ACIJGUBIMXQCMF-BYPYZUCNSA-N","O=C(O)[C@@H](N)CCC(NCC(O)=O)=O","gamma-glutamylglycine","gamma-glutamylglycine","1948-29-4","145071","HMDB0011667",NA,"100099","Pos Early"
100001295,400,33947,156045,"Peptide","Gamma-glutamyl Amino Acid",660,"NAMED","CATMPQFFVNKDEY-AAEUAGOBSA-N","O=C(O)[C@@H](N)CCC(N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O)=O","gamma-glutamyltryptophan","gamma-glutamyltryptophan","66471-20-3","2302065","HMDB0029160",NA,"3989307","Pos Early"
100001296,400,34384,156088,"Xenobiotics","Food Component/Plant",5085,"NAMED","CMUNUTVVOOHQPW-LURJTMIESA-N","C[N+]1(C)[C@H]([C@@]([O-])=O)CCC1","stachydrine","stachydrine","4136-37-2","103115","HMDB0004827","C10172","115244","Pos Early"
100001300,305,46537,146562,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",429,"NAMED","NGEWQZIDQIYUNV-UHFFFAOYSA-N","OC(C(O)=O)C(C)C","alpha-hydroxyisovalerate","alpha-hydroxyisovalerate","600-37-3","90190","HMDB0000407",NA,"99823","Polar"
100001309,209,32882,143706,"Xenobiotics","Drug - Psychoactive",5883,"NAMED","RCOBKSKAZMVBHT-NCWAPJAISA-N","CC1[C@@](OCC(C)(C)N1)(O)[C@]2=CC(Cl)=CC=C2","hydroxybupropion","hydroxybupropion",NA,"21403106","HMDB0012235",NA,"446","Neg"
100001310,400,33013,155997,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",4326,"NAMED","BUCXGWMZJBKEMD-UHFFFAOYSA-N","NC(C1=C[N+](C2C(C(C(C[O-])O2)O)O)=CC=C1)=O","nicotinamide riboside","nicotinamide riboside","1341-23-7",NA,"HMDB0000855","C03150","439924","Pos Early"
100001313,400,44872,157084,"Peptide","Gamma-glutamyl Amino Acid",657,"NAMED","RQNSKRXMANOPQY-BQBZGAKWSA-N","O=C(O)[C@H](CCSC)NC(CC[C@@H](C(O)=O)N)=O","gamma-glutamylmethionine","gamma-glutamylmethionine","17663-87-5","5373147","HMDB0029155",NA,"7009567","Pos Early"
100001314,400,33364,156009,"Peptide","Gamma-glutamyl Amino Acid",659,"NAMED","GWNXFCYUJXASDX-JUZNGCLZSA-N","CC(O)[C@@H](C(O)=O)NC(CC[C@@H](C(O)=O)N)=O","gamma-glutamylthreonine","gamma-glutamylthreonine","5652-48-2","21403107","HMDB0029159",NA,"76078708","Pos Early"
100001315,209,36103,143727,"Xenobiotics","Benzoate Metabolism",4573,"NAMED","WGNAKZGUSRVWRH-UHFFFAOYSA-N","O=S(OC1=CC=C(C)C=C1)(O)=O","p-cresol sulfate","p-cresol sulfate","3233-57-7","3806480","HMDB0011635",NA,"4615423","Neg"
100001320,305,42420,148204,"Carbohydrate","Aminosugar Metabolism",1448,"NAMED","JPIJQSOTBSSVTP-PWNYCUMCSA-N","OC[C@@H](O)[C@@H](O)C(O)=O","erythronate*","erythronate*","88759-55-1","2061231","HMDB0000613",NA,"2781043","Polar"
100001322,209,57709,212497,"Peptide","Fibrinogen Cleavage Peptide",1173,"NAMED","JWICNZAGYSIBAR-UHFFFAOYSA-N","O=C(NC(CC(C)C)C(NC(C)C(NC(CCC(O)=O)C(NCC(NCC(NCC(NC(C(C)C)C(NC(CCCNC(N)=N)C(O)=O)=O)=O)=O)=O)=O)=O)=O)C(CC1=CC=CC=C1)NC(C(CC(O)=O)NC(CNC(C(CCC(O)=O)NC(CNC(C(CO)NC(C(CC(O)=O)NC(C(C)N)=O)=O)=O)=O)=O)=O)=O","fibrinopeptide A*","fibrinopeptide A*","25422-31-5","14654187",NA,NA,"25081464","Neg"
100001323,209,31548,147074,"Peptide","Fibrinogen Cleavage Peptide",1181,"NAMED","JAMFMQAPZKXSKC-UHFFFAOYSA-N","O=C(NC(CC(C)C)C(NC(C)C(NC(CCC(O)=O)C(NCC(NCC(NCC(NC(C(C)C)C(NC(CCCNC(N)=N)C(O)=O)=O)=O)=O)=O)=O)=O)=O)C(CC1=CC=CC=C1)NC(C(CC(O)=O)NC(CNC(C(CCC(O)=O)NC(CNC(C(CO)NC(C(CC(O)=O)N)=O)=O)=O)=O)=O)=O","fibrinopeptide A, des-ala(1)*","fibrinopeptide A, des-ala(1)*",NA,"21403111",NA,NA,"132993922","Neg"
100001324,209,57712,212501,"Peptide","Fibrinogen Cleavage Peptide",1182,"NAMED","DROFZMGQYLJNLQ-UHFFFAOYSA-N","O=C(NC(CC(C)C)C(NC(C)C(NC(CCC(O)=O)C(NCC(NCC(NCC(NC(C(C)C)C(NC(CCCNC(N)=N)C(O)=O)=O)=O)=O)=O)=O)=O)=O)C(CC1=CC=CC=C1)NC(C(CC(O)=O)NC(CNC(C(CCC(O)=O)NC(CNC(C(COP(O)(O)=O)NC(C(CC(O)=O)NC(C(C)N)=O)=O)=O)=O)=O)=O)=O","fibrinopeptide A, phosphono-ser(3)*","fibrinopeptide A, phosphono-ser(3)*","886023-52-5","21403112",NA,NA,"132993923","Neg"
100001332,209,33384,144296,"Xenobiotics","Drug - Analgesics, Anesthetics",5426,"NAMED","OEPADIDIUZTYOX-UHFFFAOYSA-N","OC1=CC=CC=C1C(NCC(OC2C(O)C(O)C(O)C(C(O)=O)O2)=O)=O","salicyluric glucuronide*","salicyluric glucuronide*",NA,"21403117","HMDB0240252",NA,"121596205","Neg"
100001334,400,34387,156090,"Amino Acid","Urea cycle; Arginine and Proline Metabolism",512,"NAMED","GNMSLDIYJOSUSW-UHFFFAOYSA-N","O=C(O)C(CCC1)N1C(C)=O","N-acetylproline","N-acetylproline","1074-79-9","285677","HMDB0094701",NA,"322640","Pos Early"
100001335,209,33587,143715,"Lipid","Long Chain Monounsaturated Fatty Acid",1560,"NAMED","BITHHVVYSMSWAG-KTKRTIGZSA-N","O=C(O)CCCCCCCCC/C=C\CCCCCCCC","eicosenoate (20:1)","eicosenoate (20:1n9 or 1n11)",NA,"4445895","HMDB0002231,HMDB0062436","C16526","5282768,5282769,94159","Neg"
100001337,209,34035,143703,"Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",1586,"NAMED","DTOSIQBPPRVQHS-PDBXOOCHSA-N","O=C(O)CCCCCCC/C=C\C/C=C\C/C=C\CC","linolenate [alpha or gamma; (18:3n3 or 6)]","linolenate (18:3n3 or 3n6)",NA,"4444437","HMDB0003073,HMDB0001388","C06426,C06427","5280933,5280934","Neg"
100001359,209,46173,144239,"Energy","TCA Cycle",1458,"NAMED",NA,NA,"aconitate [cis or trans]","aconitate [cis or trans]",NA,NA,"HMDB0000958,HMDB000072","C004174,C02341","444212,643757","Neg"
100001385,400,34109,156073,"Xenobiotics","Drug - Cardiovascular",5664,"NAMED","PUQIRTNPJRFRCZ-UHFFFAOYSA-N","CC(C)NCC(O)COC1=CC=C(CC(O)=O)C=C1","metoprolol acid metabolite*","metoprolol acid metabolite*","56392-14-4","56653",NA,NA,"62936","Pos Early"
100001386,402,41754,159409,"Cofactors and Vitamins","Hemoglobin and Porphyrin Metabolism",4427,"NAMED","GGIDWJQWCUJYRY-UHFFFAOYSA-K","CC1=C(CCC(O)=O)C(/C=C(C(CCC([O-])=O)=C/2C)\[N-]C2=C/C3=N/C(C(C=C)=C3C)=C\4)=N/C1=C\C(N([Fe+2])C4=C5C)=C5C=C","heme","heme","14875-96-8",NA,"HMDB0003178","C00032","26945","Pos Late"
100001391,402,34409,158657,"Lipid","Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)",1883,"NAMED","FNPHNLNTJNMAEE-HSZRJFAPSA-N","[O-]C(C[C@@H](OC(CCCCCCCCCCCCCCCCC)=O)C[N+](C)(C)C)=O","stearoylcarnitine (C18)","stearoylcarnitine (C18)","18822-91-8","21233653","HMDB0000848",NA,"3006797","Pos Late"
100001392,402,34534,158670,"Lipid","Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)",1878,"NAMED","FUJLYHJROOYKRA-UHFFFAOYSA-N","[O-]C(CC(C[N+](C)(C)C)OC(CCCCCCCCCCC)=O)=O","laurylcarnitine (C12)","laurylcarnitine (C12)","25518-54-1","8602997","HMDB000225",NA,"168381","Pos Late"
100001393,400,34407,156109,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",359,"NAMED","IGQBPDJNUXPEMT-UHFFFAOYSA-N","[O-]C(CC(C[N+](C)(C)C)OC(CC(C)C)=O)=O","isovalerylcarnitine (C5)","isovalerylcarnitine (C5)","31023-24-2","4932271","HMDB0000688","C20826","169235","Pos Early"
100001396,400,34390,156093,"Xenobiotics","Xanthine Metabolism",4623,"NAMED","PFWLFWPASULGAN-UHFFFAOYSA-N","OC1=C(N2C)C(N=C2)=NC(O)=N1","7-methylxanthine","7-methylxanthine","552-62-5","61660","HMDB0001991","C16353","68374","Pos Early"
100001397,209,34404,126930,"Xenobiotics","Xanthine Metabolism",4620,"NAMED","BYXCFUMGEBZDDI-UHFFFAOYSA-N","CN(C(N1C)=O)C(NC2=O)=C(N2C)C1=O","1,3,7-trimethylurate","1,3,7-trimethylurate","5415-44-1","71754","HMDB0002123","C16361","79437","Neg"
100001398,209,34399,126922,"Xenobiotics","Xanthine Metabolism",4619,"NAMED","HMLZLHKHNBLLJD-UHFFFAOYSA-N","CN1C(NC(C(N2C)=C1NC2=O)=O)=O","3,7-dimethylurate","3,7-dimethylurate","13087-49-5","74994","HMDB0001982","C16360","83126","Neg"
100001399,305,34400,147805,"Xenobiotics","Xanthine Metabolism",4618,"NAMED","NOFNCLGCUJJPKU-UHFFFAOYSA-N","CN1C(NC(N2)=C(C1=O)N(C)C2=O)=O","1,7-dimethylurate","1,7-dimethylurate","33868-03-0","82720","HMDB0011103","C16356","91611","Polar"
100001400,400,34395,156098,"Xenobiotics","Xanthine Metabolism",4615,"NAMED","QFDRTQONISXGJA-UHFFFAOYSA-N","CN1C(NC(N2)=C(C1=O)NC2=O)=O","1-methylurate","1-methylurate","708-79-2","62926","HMDB0003099","C16359","69726","Pos Early"
100001402,305,34401,165248,"Xenobiotics","Xanthine Metabolism",4625,"NAMED","RDZNZFGKEVDNPK-UHFFFAOYSA-N","O=C(NC(NC=O)=C1NC(C)=O)N(C)C1=O","5-acetylamino-6-formylamino-3-methyluracil","5-acetylamino-6-formylamino-3-methyluracil","85438-96-6","97287","HMDB0011105","C16365","108214","Polar"
100001403,305,34424,165245,"Xenobiotics","Xanthine Metabolism",4624,"NAMED","POQOTWQIYYNXAT-UHFFFAOYSA-N","O=C(NC(N)=C1NC(C)=O)N(C)C1=O","5-acetylamino-6-amino-3-methyluracil","5-acetylamino-6-amino-3-methyluracil","1196153-01-1","79659","HMDB0004400","C16366","88299","Polar"
100001404,209,34402,150358,"Amino Acid","Tryptophan Metabolism",322,"NAMED","JTEDVYBZBROSJT-UHFFFAOYSA-N","OC(CCCC1=CNC2=C1C=CC=C2)=O","indolebutyrate","indolebutyrate","133-32-4","8298","HMDB0002096","C11284","8617","Neg"
100001405,209,34389,126906,"Xenobiotics","Xanthine Metabolism",4621,"NAMED","MVOYJPOZRLFTCP-UHFFFAOYSA-N","O=C(N1C)NC2=C(NC=N2)C1=O","1-methylxanthine","1-methylxanthine","6136-37-4","72464","HMDB0010738","C16358","80220","Neg"
100001409,400,48351,179271,"Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",4145,"NAMED","WJNGQIYEQLPJMN-UHFFFAOYSA-N","OC(C1O)C(OC1CO)N(C=N2)C(N=CN3C)=C2C3=O","N1-methylinosine","N1-methylinosine","20245-33-4","513976","HMDB0002721",NA,"650095","Pos Early"
100001412,400,35137,156155,"Nucleotide","Purine Metabolism, Guanine containing",4211,"NAMED","RSPURTUNRHNVGF-IOSLPCCCSA-N","O=C1C(N=CN2[C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](CO)([H])O3)=C2N=C(N(C)C)N1","N2,N2-dimethylguanosine","N2,N2-dimethylguanosine","2140-67-2","83878","HMDB0004824",NA,"135501639","Pos Early"
100001413,400,35130,156149,"Nucleotide","Pyrimidine Metabolism, Cytidine containing",4275,"NAMED","NIDVTARKFBZMOT-PEBGCTIMSA-N","O[C@]1([H])[C@@](O)([H])[C@](CO)([H])O[C@]1(N2C(N=C(NC(C)=O)C=C2)=O)[H]","N4-acetylcytidine","N4-acetylcytidine","3768-18-1","96702","HMDB0005923",NA,"107461","Pos Early"
100001415,209,35157,126974,"Nucleotide","Purine Metabolism, Adenine containing",4183,"NAMED","UNUYMBPXEFMLNW-HZPYULPISA-N","OC(C)C(C(O)=O)NC(NC1=NC=NC2=C1N=CN2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)=O","N6-carbamoylthreonyladenosine","N6-carbamoylthreonyladenosine","24719-82-2","141829","HMDB0041623",NA,"161466","Neg"
100001416,305,35172,147813,"Nucleotide","Pyrimidine Metabolism, Orotate containing",4228,"NAMED","FKCRAVPPBFWEJD-XVFCMESISA-N","O=C(C=C(C(O)=O)N1[C@H]2[C@H](O)[C@H](O)[C@@H](CO)O2)NC1=O","orotidine","orotidine","314-50-1","83729","HMDB0000788",NA,"92751","Polar"
100001417,209,35126,126960,"Peptide","Acetylated Peptides",1203,"NAMED","JFLIEFSWGNOPJJ-JTQLQIEISA-N","O=C(CC1=CC=CC=C1)N[C@@H](CCC(N)=O)C(O)=O","phenylacetylglutamine","phenylacetylglutamine","28047-15-6","270643","HMDB0006344","C04148","92258","Neg"
100001423,209,35527,127577,"Xenobiotics","Benzoate Metabolism",4490,"NAMED","ZMHLUFWWWPBTIU-UHFFFAOYSA-N","O=C(NCC(O)=O)C1=CC=C(O)C=C1","4-hydroxyhippurate","4-hydroxyhippurate","2482-25-9","133104","HMDB0013678",NA,"151012","Neg"
100001425,209,61833,218435,"Nucleotide","Pyrimidine Metabolism, Uracil containing",4241,"NAMED","ZPTBLXKRQACLCR-XVFCMESISA-N","OC[C@H]1O[C@@H](N2CCC(NC2=O)=O)[C@@H]([C@@H]1O)O","5,6-dihydrouridine","5,6-dihydrouridine","5627-05-4","85115","HMDB0000497",NA,"94312","Neg"
100001426,209,62924,220780,"Nucleotide","Pyrimidine Metabolism, Uracil containing",4263,"NAMED","YXNIEZJFCGTDKV-UHFFFAOYSA-N","OCC1C(O)C(O)C(N2C=CC(N(CCC(C(O)=O)N)C2=O)=O)O1","3-(3-amino-3-carboxypropyl)uridine*","3-(3-amino-3-carboxypropyl)uridine*","52745-94-5","149669",NA,NA,"171198","Neg"
100001437,400,35159,161190,"Amino Acid","Glutathione Metabolism",581,"NAMED","BNRXZEPOHPEEAS-UHFFFAOYSA-N","NC(C(O)=O)CCC(NC(CSSCC(N)C(O)=O)C(NCC(O)=O)=O)=O","cysteine-glutathione disulfide","cysteine-glutathione disulfide","13081-14-6","3455404","HMDB0000656","R00900","3080690","Pos Early"
100001446,209,35136,128207,"Nucleotide","Pyrimidine Metabolism, Uracil containing",4243,"NAMED","DWRXFEITVBNRMK-JXOAFFINSA-N","O[C@@H]1[C@H](O)[C@@H](CO)O[C@H]1N(C=C2C)C(NC2=O)=O","5-methyluridine (ribothymidine)","5-methyluridine (ribothymidine)","1463-10-1","393058","HMDB0000884",NA,"445408","Neg"
100001452,209,35107,126956,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",358,"NAMED","ZRQXMKMBBMNNQC-UHFFFAOYSA-N","O=C(O)CNC(CC(C)C)=O","isovalerylglycine","isovalerylglycine","16284-60-9","475516","HMDB00678",NA,"546304","Neg"
100001454,209,62915,220767,"Lipid","Fatty Acid, Dicarboxylate",1704,"NAMED","FYVQCLGZFXHEGL-UHFFFAOYSA-N","O=C(O)CC(O)CCCCCCCCC(O)=O","3-hydroxydodecanedioate*","3-hydroxydodecanedioate*","34574-69-1","13628081","HMDB0000413",NA,"16663321","Neg"
100001456,400,35114,156140,"Nucleotide","Purine Metabolism, Guanine containing",4205,"NAMED","FZWGECJQACGGTI-UHFFFAOYSA-N","O=C1C(N2C)=C(N=C2)N=C(N)N1","7-methylguanine","7-methylguanine","578-76-7","10883","HMDB0000897","C02242","135398679","Pos Early"
100001462,209,34437,126952,"Lipid","Lysophospholipid",2728,"NAMED","HFJVKBVEKQHVTO-OZAIVSQSSA-N","O=P(OCC(O)CO)(O)OC[C@H](O)COC(CCCCCCCCCCCCCCCCC)=O","1-stearoyl-GPG (18:0)","1-stearoyl-GPG (18:0)",NA,"21403138",NA,NA,NA,"Neg"
100001466,400,35132,156151,"Nucleotide","Pyrimidine Metabolism, Cytidine containing",4273,"NAMED","RDPUKVRQKWBSPK-ZOQUXTDFSA-N","O[C@]([C@@]1(O)[H])([C@](O[C@](CO)1[H])([H])N2C=CC(N(C)C2=O)=N)[H]","3-methylcytidine","3-methylcytidine","21028-20-6","9164190","HMDB0240577",NA,"14237477","Pos Early"
100001467,209,35133,126968,"Nucleotide","Purine Metabolism, Guanine containing",4210,"NAMED","SLEHROROQDYRAW-KQYNXXCUSA-N","O=C1C(N=CN2[C@@]3([H])[C@@](O)([H])[C@@](O)([H])[C@](CO)([H])O3)=C2N=C(NC)N1","N2-methylguanosine","N2-methylguanosine","2140-77-4","2299669","HMDB0005862",NA,"135501934","Neg"
100001468,209,40469,143005,"Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",4343,"NAMED","JLQSXXWTCJPCBC-UHFFFAOYSA-N","O=C(C1=C([H])N(C(C([H])=C1[H])=O)C([H])([H])[H])N([H])[H]","N1-methyl-2-pyridone-5-carboxamide","N1-methyl-2-pyridone-5-carboxamide","701-44-0","62899","HMDB0004193","C05842","69698","Neg"
100001472,209,35174,126980,"Lipid","Long Chain Polyunsaturated Fatty Acid (n3 and n6)",1596,"NAMED","UNSRRHDPHVZAHH-YOILPLPUSA-N","O=C(O)CCC\C=C/C/C=C\C/C=C\CCCCCCCC","mead acid (20:3n9)","mead acid (20:3n9)","20590-32-3","4471956","HMDB0010378",NA,"5312531","Neg"
100001485,400,34456,156123,"Peptide","Gamma-glutamyl Amino Acid",653,"NAMED","SNCKGJWJABDZHI-SIPWABPFSA-N","CCC(C)[C@@H](C(O)=O)NC(CC[C@@H](C(O)=O)N)=O","gamma-glutamylisoleucine*","gamma-glutamylisoleucine*",NA,"21403145","HMDB0011170",NA,"22885096","Pos Early"
100001501,402,35160,158710,"Lipid","Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",1903,"NAMED","IPOLTUVFXFHAHI-WHIOSMTNSA-N","[O-]C(C[C@@H](OC(CCCCCCC/C=C\CCCCCCCC)=O)C[N+](C)(C)C)=O","oleoylcarnitine (C18:1)","oleoylcarnitine (C18:1)","38677-66-6","21403150","HMDB0005065",NA,"6441392","Pos Late"
100001502,400,37092,156314,"Peptide","Gamma-glutamyl Amino Acid",665,"NAMED","FUZOZPRKGAXGOB-UHFFFAOYSA-N","O=C(O)C(CCC(NC(CC)C(O)=O)=O)N","gamma-glutamyl-2-aminobutyrate","gamma-glutamyl-2-aminobutyrate","16869-42-4","21403151",NA,NA,NA,"Pos Early"
100001509,400,45095,157090,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",402,"NAMED","IHCPDBBYTYJYIL-UHFFFAOYSA-N","CCC(C)C(OC(CC([O-])=O)C[N+](C)(C)C)=O","2-methylbutyrylcarnitine (C5)","2-methylbutyrylcarnitine (C5)","31023-25-3","4932320","HMDB0000378",NA,"6426901","Pos Early"
100001510,209,32553,143728,"Amino Acid","Tyrosine Metabolism",195,"NAMED","CTYRPMDGLDAWRQ-UHFFFAOYSA-N","OS(OC1=CC=CC=C1)(=O)=O","phenol sulfate","phenol sulfate","937-34-8","67018","HMDB0060015","C02180","74426","Neg"
100001526,400,37059,156288,"Lipid","Fatty Acid Synthesis",1488,"NAMED","ZGNBLKBZJBJFDG-UHFFFAOYSA-N","O=C(CC(O)=O)OC(CC([O-])=O)C[N+](C)(C)C","malonylcarnitine","malonylcarnitine","853728-01-5","21403153","HMDB0002095",NA,"22833583","Pos Early"
100001527,209,35436,128227,"Lipid","Fatty Acid Metabolism (Acyl Glycine)",1822,"NAMED","UPCKIPHSXMXJOX-UHFFFAOYSA-N","O=C(O)CNC(CCCCC)=O","hexanoylglycine","hexanoylglycine (C6)","24003-67-6","89859","HMDB0000701",NA,"99463","Neg"
100001538,400,35661,156219,"Xenobiotics","Drug - Analgesics, Anesthetics",5443,"NAMED","NNJVILVZKWQKPM-UHFFFAOYSA-N","CC1=CC=CC(C)=C1NC(CN(CC)CC)=O","lidocaine","lidocaine","137-58-6","3548","HMDB0014426","D00358","3676","Pos Early"
100001539,400,33080,156000,"Xenobiotics","Drug - Analgesics, Anesthetics",5444,"NAMED","WRMRXPASUROZGT-UHFFFAOYSA-N","CC1=CC=CC(C)=C1NC(CNCC)=O","N-ethylglycinexylidide","N-ethylglycinexylidide","7728-40-7","22824","HMDB0060656","C16561","24415","Pos Early"
100001540,400,46225,157124,"Partially Characterized Molecules","Partially Characterized Molecules",6475,"NAMED","NPWMTBZSRRLQNJ-UHFFFAOYSA-N","O=C(CCC1N)NC1=O","glutamine_degradant*","glutamine_degradant*","2353-44-8",NA,NA,NA,NA,"Pos Early"
100001541,209,36746,128281,"Amino Acid","Leucine, Isoleucine and Valine Metabolism",400,"NAMED","RILPIWOPNGRASR-UHFFFAOYSA-N","O=C(C(C(CC)C)O)O","2-hydroxy-3-methylvalerate","2-hydroxy-3-methylvalerate","488-15-3","144317","HMDB0000317",NA,"164623","Neg"
100001548,209,35668,152536,"Lipid","Androgenic Steroids",3389,"NAMED","WAQBISPOEAOCOG-DYKIIFRCSA-N","O=C1CC[C@@]2(C)C(CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])CC[C@@H]4OS(=O)(O)=O)=C1","testosterone sulfate","testosterone sulfate","651-45-6","19979647","HMDB0002833",NA,"119207","Neg"
100001550,400,33009,155996,"Xenobiotics","Food Component/Plant",4954,"NAMED","XULZWQRXYTVUTE-ZETCQYMHSA-N","C[N+]1(C)[C@@H](CCCC1)[C@]([O-])=O","homostachydrine*","homostachydrine*","1195-94-4","390180","HMDB0033433","C08283","441447","Pos Early"
100001577,209,48434,155079,"Amino Acid","Urea cycle; Arginine and Proline Metabolism",511,"NAMED","WMQMIOYQXNRROC-LURJTMIESA-N","OC([C@@H](NC(C)=O)CCCNC(N)=O)=O","N-acetylcitrulline","N-acetylcitrulline","33965-42-3","571213","HMDB0000856","C15532,C02851","656979","Neg"
100001579,209,35675,128275,"Lipid","Fatty Acid, Monohydroxy",1985,"NAMED","JGHSBPIZNUXPLA-UHFFFAOYSA-N","O=C(O)C(O)CCCCCCCCCCCCCC","2-hydroxypalmitate","2-hydroxypalmitate","764-67-0","83805","HMDB0031057",NA,"12575964,92836,11065598","Neg"
